fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
"WCAS XIII, L.P.",2019,"$400,000,000","$383,241,237","$256,042,414","$645,845,544",15.8%,,CalPERS,2026-02-18
Wigmore Street VI Co-Investment No. 1 LP,2019,"$99,109,858","$96,673,167","$34,342,616","$193,144,667",16.9%,,CalPERS,2026-02-18
ASF VIII B L.P.,2020,"$300,000,000","$239,832,449","$93,901,922","$337,551,522",13.9%,,CalPERS,2026-02-18
"California Partners, L.P.",2020,"$850,000,000","$592,164,364","$27,218,275","$849,202,731",16.0%,,CalPERS,2026-02-18
CVC Capital Partners Asia V L.P.,2020,"$200,000,000","$192,940,870","$40,842,088","$267,379,492",12.6%,,CalPERS,2026-02-18
"Forecastle, L.P.",2020,"$800,000,000","$764,686,421","$9,003,956","$1,120,760,931",16.9%,,CalPERS,2026-02-18
"Francisco Partners Agility II, L.P.",2020,"$50,000,000","$41,800,000","$34,255,067","$89,138,673",28.7%,,CalPERS,2026-02-18
General Atlantic Managed Account,2020,"$1,050,000,000","$890,639,571","$89,860,958","$1,121,836,332",8.1%,,CalPERS,2026-02-18
"Green Equity Investors VIII, L.P.",2020,"$376,206,440","$569,296,808","$339,911,386","$805,377,945",10.7%,,CalPERS,2026-02-18
"Hellman & Friedman Capital Partners IX, L.P.",2020,"$578,721,883","$714,696,320","$221,742,757","$1,191,494,566",13.7%,,CalPERS,2026-02-18
"Insight Partners XI, L.P.",2020,"$400,000,000","$389,200,000","$19,111,580","$667,604,680",12.9%,,CalPERS,2026-02-18
"Jade Equity Investors, L.P.",2020,"$155,000,000","$160,671,809","$104,351,807","$250,869,967",19.5%,,CalPERS,2026-02-18
KKR European Fund V (USD) SCSp,2020,"$300,000,000","$291,168,385","$133,215,476","$414,820,863",10.8%,,CalPERS,2026-02-18
"LongRange Capital Fund I, L.P.",2020,"$1,500,000,000","$766,989,605","$307,388,402","$1,074,803,975",13.9%,,CalPERS,2026-02-18
"Oaktree Latigo Investment Fund, L.P.",2020,"$1,000,000,000","$480,000,000","$352,500,000","$663,643,978",10.2%,,CalPERS,2026-02-18
"OHA Black Bear Fund, L.P.",2020,"$1,000,000,000","$260,000,000","$183,415,842","$396,302,258",11.5%,,CalPERS,2026-02-18
Permira VII L.P.1,2020,"$549,052,730","$612,059,951","$167,595,081","$819,285,516",8.2%,,CalPERS,2026-02-18
Redwood Opportunities SCSp,2020,"$950,000,000","$805,465,819","$25,137,777","$1,217,637,225",17.3%,,CalPERS,2026-02-18
"Samson Partners, L.P.",2020,"$238,801,883","$172,155,918","$22,795,314","$303,594,216",13.9%,,CalPERS,2026-02-18
"Sierra Partners, L.P.",2020,"$150,000,000","$81,986,760","$21,284,053","$88,413,029",3.7%,,CalPERS,2026-02-18
"Summit Partners Growth Equity Fund X-A, L.P.",2020,"$250,000,000","$248,757,331","$83,747,822","$366,508,498",12.8%,,CalPERS,2026-02-18
"Top Castle Sidecar VII, L.P.",2020,"$500,000,000","$144,751,179","$43,521,072","$253,330,830",26.1%,,CalPERS,2026-02-18
"Trident VIII, L.P.",2020,"$400,000,000","$397,486,789","$135,931,219","$625,654,186",12.7%,,CalPERS,2026-02-18
VIP IV LP,2020,"$304,369,347","$285,066,983","$5,586,572","$388,396,738",11.4%,,CalPERS,2026-02-18
"AlpInvest Secondaries Fund (onshore) VII, L.P.",2021,"$373,893,702","$369,919,723","$503,684,119","$503,684,119",15.1%  1,1,CalPERS,2026-02-18
"Ares Corporate Opportunities Fund VI, L.P.",2021,"$250,000,000","$300,645,084","$126,682,652","$418,739,370",15.7%  1,1,CalPERS,2026-02-18
