fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
The Resolute Fund III,2014,100000000,99429510,188782618,5338,18.67,CalSTRS,2026-02-18,"FYE June 30, 2025"
"The Resolute Fund IV, L.P.",2018,150000000,171374429,161826949,288883936,32.52,CalSTRS,2026-02-18,"FYE June 30, 2025"
"The Resolute Fund V, L.P.",2021,250000000,235504343,18812062,345686415,15.84,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Discover Fund II, L.P.",2018,100000000,107086278,119194697,114291926,21.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Discover Fund III, L.P.",2021,100000000,100682380,4579166,143096337,11.38,CalSTRS,2026-02-18,"FYE June 30, 2025"
Thoma Bravo Discover IV,2022,100000000,89769946,18220188,102438371,21.32,CalSTRS,2026-02-18,"FYE June 30, 2025"
Thoma Bravo Fund X,2012,100000000,86214524,326342183,21688770,37.95,CalSTRS,2026-02-18,"FYE June 30, 2025"
Thoma Bravo Fund XI,2014,75000000,79099825,246224828,39305953,26.13,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Fund XII, L.P.",2016,250000000,274422154,460212654,136781640,15.07,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Fund XIII, L.P.",2019,300000000,368727918,372337132,356524638,22.62,CalSTRS,2026-02-18,"FYE June 30, 2025"
Thoma Bravo Fund XIV,2021,300000000,324641678,104097648,300532611,6.83,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Fund XV, L.P.",2022,300000000,258417627,10118485,345210820,15.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Special Opportunities Fund II, L.P.",2015,35000000,36249940,64513943,26431841,15.94,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Bravo Special Opps Fund I, L.P.",2013,31400000,24733935,98319136,,34.07,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Thoma Cressey Fund VII, L.P.",2001,100000000,100354110,213626340,,24.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Asia V, L.P.",2007,180000000,152971171,222107561,6760302,6.27,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Asia VII (A), L.P.",2019,150000000,163704659,105004682,133958640,11.22,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Growth II, LP",2011,125000000,126546522,241368595,53488144,15.73,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Growth III (A), L.P.",2016,200000000,220544821,264217956,102064812,15.21,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Growth IV, L.P.",2018,200000000,225809187,222504796,157063313,14.34,CalSTRS,2026-02-18,"FYE June 30, 2025"
TPG Growth V L.P.,2021,100000000,102504714,21265268,124073515,14.50,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Partners IV, L.P.",2003,350000000,324101605,678730330,757408,15.15,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Partners IX, L.P.",2023,200000000,122938239,1627536,146349336,22.67,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Partners V, L.P.",2006,1000000000,869026694,1247622182,,4.80,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Partners VI, L.P.",2008,450000000,430418386,665947832,3921331,9.38,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TPG Partners VIII, L.P.",2019,200000000,205120088,84113642,235988949,17.23,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Trident IX, L.P.",2022,300000000,267090842,33208300,313840660,18.27,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Trident VII, L.P.",2017,150000000,179853766,172973686,231576945,18.60,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Trident VIII, L.P.",2020,250000000,248429258,84957014,306076872,12.70,CalSTRS,2026-02-18,"FYE June 30, 2025"
Triton Fund II L.P.,2006,58692473,64983822,148534576,315916,18.57,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Triton Fund IV, L.P.",2013,58692473,55277130,59333471,49488298,12.22,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Triton Fund V, L.P.",2019,117384945,116032965,55488430,140154010,18.42,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Valor Equity Partners IV, L.P.",2018,40000000,39851034,8700204,117459844,20.19,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Valor Equity Partners V, L.P.",2021,40000000,38143042,2403819,68684474,18.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Valor Equity Partners VI, L.P.",2023,40000000,27571971,3802,41133383,34.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
