fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
GSO Capital Opportunities Fund II,2011,125000000.0,102072150.0,111553484.0,,1.31,0.10640000000000001,Louisiana Teachers,2019-Q4,2025-02-19
ICG Europe Fund V No.1 LP,2011,84187500.0,64538711.0,75739172.0,,1.37,0.0904,Louisiana Teachers,2019-Q4,2025-02-19
"Energy Capital Partners Mezzanine Opportunities Fund, L.P.",2012,50000000.0,42016773.0,26113549.0,,0.77,-0.11019999999999999,Louisiana Teachers,2019-Q4,2025-02-19
"Falcon Strategic Partners IV, L.P.",2012,75000000.0,67796662.0,39999828.0,,1.39,0.08960000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Ascribe Opportunities Fund III LP,2013,75000000.0,54869736.0,34954183.0,,1.03,0.0192,Louisiana Teachers,2019-Q4,2025-02-19
Providence Debt Fund III LP,2013,75000000.0,75274120.0,52855665.0,,1.28,0.0699,Louisiana Teachers,2019-Q4,2025-02-19
Tower Square Capital Partners IV Inc.,2013,75000000.0,60811618.0,47245870.0,,1.26,0.098,Louisiana Teachers,2019-Q4,2025-02-19
ICG Europe Fund VI Feeder Limited Partnership,2015,84187500.0,68016069.0,22251057.0,,1.4,0.17489999999999997,Louisiana Teachers,2019-Q4,2025-02-19
Benefit Street Partners Debt Funds IV LP,2016,75000000.0,46135338.0,7782271.0,,1.14,0.0706,Louisiana Teachers,2019-Q4,2025-02-19
GSO Capital Opportunities Fund III LP,2016,125000000.0,70662972.0,22344422.0,,1.2,0.12210000000000001,Louisiana Teachers,2019-Q4,2025-02-19
HPS-Mezzanine Partners III LP,2016,75000000.0,62508646.0,8173320.0,,1.2,0.1139,Louisiana Teachers,2019-Q4,2025-02-19
Apollo Hybrid Value Fund LP,2018,75000000.0,19040966.0,19602919.0,,2.01,1.8299,Louisiana Teachers,2019-Q4,2025-02-19
ICG Europe Fund VII LP SCSp,2018,84187500.0,22647090.0,18467.0,,1.23,0.3166,Louisiana Teachers,2019-Q4,2025-02-19
Summit Partners Credit Fund III LP,2018,75000000.0,35160287.0,5890495.0,,1.12,0.1617,Louisiana Teachers,2019-Q4,2025-02-19
Castlelake Income Opportunities LP,2019,75000000.0,8069083.0,0.0,,1.09,0.3448,Louisiana Teachers,2019-Q4,2025-02-19
HPS Mezzanine Partners 2019,2019,100000000.0,8402690.0,7835766.0,,1.06,0.0874,Louisiana Teachers,2019-Q4,2025-02-19
"Blackstone Tactical Opportunities Fund – HL, L.P. (BTO III)",2017,125000000.0,20197405.0,421242.0,,0.97,-0.0535,Louisiana Teachers,2019-Q4,2025-02-19
"ING Realty Partners Starwood Global Opportunity Fund VI- A, L.P.",2002,50000000.0,50000000.0,51782430.0,,1.02,0.0037,Louisiana Teachers,2019-Q4,2025-02-19
"Rockpoint Real Estate Fund II, L.P.",2005,75000000.0,66836534.0,59416245.0,,0.84,-0.0276,Louisiana Teachers,2019-Q4,2025-02-19
"Starwood Opportunity Fund VII, L.P.",2005,50000000.0,50000000.0,39014033.0,,0.81,-0.023,Louisiana Teachers,2019-Q4,2025-02-19
"Blackstone Real Estate Partners V, L.P.",2006,75000000.0,65404953.0,144950124.0,,2.08,0.1079,Louisiana Teachers,2019-Q4,2025-02-19
"Sterling American Property V, L.P.",2006,50000000.0,36407822.0,32428355.0,,0.92,-0.0091,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Partners VI,2007,100000000.0,96996190.0,212904156.0,,2.02,0.1316,Louisiana Teachers,2019-Q4,2025-02-19
"Carlyle Realty Partners V, L.P.",2007,50000000.0,35348880.0,60710203.0,,1.69,0.0859,Louisiana Teachers,2019-Q4,2025-02-19
"Rockpoint Real Estate Fund III, L.P.",2007,75000000.0,65915934.0,97185197.0,,1.4,0.13720000000000002,Louisiana Teachers,2019-Q4,2025-02-19
