fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"Summit Partners Private Equity Fund VII-A, L.P.",2006,17500000.0,17788111.27,28802568.406,3276310.0,0.10170778826701599,1.8033886745526302,Massachusetts PRIM,2020-Q1,2025-02-19
"Summit Partners Venture Capital Fund II-A, L.P.",2006,2500000.0,2832974.04,5857228.46,144661.0,0.19297899544007005,2.1185825832699834,Massachusetts PRIM,2020-Q1,2025-02-19
"Summit Ventures VI-A, L.P.",2001,10000000.0,10117659.969999999,21727337.297998,143332.0,0.15373922822745278,2.1616331605180443,Massachusetts PRIM,2020-Q1,2025-02-19
"SV Life Sciences Fund V, L.P.",2009,25000000.0,31649530.0,24295117.0,12305350.0,0.04814860676278305,1.1564300322943186,Massachusetts PRIM,2020-Q1,2025-02-19
"TA X, L.P.",2006,42000000.0,43253626.57,55554478.41,17389.0,0.049715264536823706,1.2847909370111346,Massachusetts PRIM,2020-Q1,2025-02-19
"TA XI, L.P.",2010,150000000.0,161603619.23,297702452.98999995,82253337.0,0.22655811530454228,2.351158914635652,Massachusetts PRIM,2020-Q1,2025-02-19
"TA XII, L.P.",2016,200000000.0,202405685.62496996,106858537.62496993,235808235.0,0.3265111925904345,1.6929700940312742,Massachusetts PRIM,2020-Q1,2025-02-19
"TA XIII, L.P.",2019,250000000.0,37500000.0,,31447477.0,-0.16140061330088928,0.8385993866666667,Massachusetts PRIM,2020-Q1,2025-02-19
"TCV IX, L.P.",2016,125000000.0,94487500.0,6869026.43,108095913.99999999,0.11688475524552139,1.2167211581426114,Massachusetts PRIM,2020-Q1,2025-02-19
"TCV VI, L.P.",2006,30000000.0,29859000.0,43699237.788,4070398.0,0.12653184032018938,1.5998404430155062,Massachusetts PRIM,2020-Q1,2025-02-19
"TCV VII, L.P.",2008,75000000.0,73808641.03999999,162213944.49899998,52557350.0,0.22875229644710968,2.9098394371277805,Massachusetts PRIM,2020-Q1,2025-02-19
"TCV VIII, L.P.",2014,100000000.0,84811373.0,13091412.750000002,128697614.00000001,0.1262687466071203,1.6718161932126723,Massachusetts PRIM,2020-Q1,2025-02-19
"TCV X, L.P.",2019,150000000.0,54435000.0,,50700835.00000001,-0.10267597099558322,0.9314013961605585,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Discover Fund II, L.P.",2018,100000000.0,50737428.99999999,,50244068.339999996,-0.011923617297517756,0.9902761990561249,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Discover Fund, L.P.",2016,60000000.0,68102452.0,54931682.0,73926108.32,0.31509059385445565,1.8921167525656786,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Fund IX, L.P.",2008,50000000.0,59461972.99999999,196639094.0,515192.44,0.4399824426133661,3.315636473078349,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Fund X, L.P.",2012,75000000.0,90343126.00000001,210726018.0,42989979.53,0.3808287758803766,2.8083597365227324,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Fund XI, L.P.",2014,150000000.0,157363082.0,195930545.0,236365442.22,0.2854318511995338,2.7471245588593645,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Fund XII, L.P.",2016,100000000.0,101242318.00000001,6886993.0,129646633.15,0.1338295016969887,1.3485825773961437,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Fund XIII, L.P.",2018,150000000.0,91724430.00000001,,97501049.91,0.09674229174055853,1.0629779864535545,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Special Opportunities Fund I, L.P.",2013,25000000.0,28335930.0,51080122.0,21519984.369999997,0.3399702963774215,2.562121884476705,Massachusetts PRIM,2020-Q1,2025-02-19
"Thoma Bravo Special Opportunities Fund II, L.P.",2015,50000000.0,52031932.99999999,45081371.00000001,57980711.14,0.1985791915699983,1.9807467491165471,Massachusetts PRIM,2020-Q1,2025-02-19
